accsym,syn,sym,taxon
ASKET,ASKEI2,ASKEI2,Astragalus kentrophyta ssp. implexus
ASKEJ,ASKEJ2,ASKEJ2,Astragalus kentrophyta ssp. jessiae
ASKEN,ASKEN2,ASKEN2,Astragalus kentrophyta ssp. neomexicanus
ASKEU,ASKEU2,ASKEU2,Astragalus kentrophyta ssp. ungulatus
ASKEC,,ASKEC,Astragalus kentrophyta var. coloradoensis
ASKED,,ASKED,Astragalus kentrophyta var. danaus
ASKED2,,ASKED2,Astragalus kentrophyta var. douglasii
ASKEE,,ASKEE,Astragalus kentrophyta var. elatus
ASKET,ASKEI,ASKEI,Astragalus kentrophyta var. implexus
ASKEJ,,ASKEJ,Astragalus kentrophyta var. jessiae
ASKEK,,ASKEK,Astragalus kentrophyta var. kentrophyta
ASKEN,,ASKEN,Astragalus kentrophyta var. neomexicanus
ASKET,,ASKET,Astragalus kentrophyta var. tegetarius
ASKEU,,ASKEU,Astragalus kentrophyta var. ungulatus
ASKE5,,ASKE5,Astragalus kerrii
ASKN,,ASKN,Astragalus knightii
ASAD10,ASKO2,ASKO2,Astragalus kotschyanus
ASCHL2,ASLA28,ASLA28,Astragalus laccoliticus
ASLA26,,ASLA26,Astragalus lackschewitzii
ASPUL,ASLA14,ASLA14,Astragalus lagopinus
ASEPL,ASLA7,ASLA7,Astragalus lancearius
ASLA21,,ASLA21,Astragalus lasioglottis
ASCOL,ASLA13,ASLA13,Astragalus laurentii
ASLA27,,ASLA27,Astragalus laxmannii
ASLAR,,ASLAR,Astragalus laxmannii var. robustior
ASLAT3,,ASLAT3,Astragalus laxmannii var. tananaicus
ASLA8,,ASLA8,Astragalus layneae
ASPUL2,ASLE15,ASLE15,Astragalus lectulus
ASLE5,,ASLE5,Astragalus leibergii
ASLE6,,ASLE6,Astragalus lemmonii
ASLE7,,ASLE7,Astragalus lentiformis
ASLE8,,ASLE8,Astragalus lentiginosus
ASLED,ASLEA6,ASLEA6,Astragalus lentiginosus var. albiflorus
ASLEA,,ASLEA,Astragalus lentiginosus var. albifolius
ASLEA2,,ASLEA2,Astragalus lentiginosus var. ambiguus
ASLEA3,,ASLEA3,Astragalus lentiginosus var. antonius
ASLED,ASLEA4,ASLEA4,Astragalus lentiginosus var. araneosus
ASLEA5,,ASLEA5,Astragalus lentiginosus var. australis
ASLEB,,ASLEB,Astragalus lentiginosus var. borreganus
ASLEL3,ASLEC6,ASLEC6,Astragalus lentiginosus var. carinatus
ASLEK2,ASLEC7,ASLEC7,Astragalus lentiginosus var. charlestonensis
ASLEC,,ASLEC,Astragalus lentiginosus var. chartaceus
ASLEC2,,ASLEC2,Astragalus lentiginosus var. coachellae
ASLEB,ASLEC4,ASLEC4,Astragalus lentiginosus var. coulteri
ASLED,,ASLED,Astragalus lentiginosus var. diphysus
ASLEF,,ASLEF,Astragalus lentiginosus var. floribundus
ASLEF2,,ASLEF2,Astragalus lentiginosus var. fremontii
ASLEH,,ASLEH,Astragalus lentiginosus var. higginsii
ASLEI,,ASLEI,Astragalus lentiginosus var. idriensis
ASLEI2,,ASLEI2,Astragalus lentiginosus var. ineptus
ASLEK,,ASLEK,Astragalus lentiginosus var. kennedyi
ASLEK2,,ASLEK2,Astragalus lentiginosus var. kernensis
ASLEL,,ASLEL,Astragalus lentiginosus var. latus
ASLEL3,,ASLEL3,Astragalus lentiginosus var. lentiginosus
ASLES,ASLEM,ASLEM,Astragalus lentiginosus var. macrolobus
ASLEM2,,ASLEM2,Astragalus lentiginosus var. maricopae
ASLED,ASLEM4,ASLEM4,Astragalus lentiginosus var. mcdougallii
ASLEM3,,ASLEM3,Astragalus lentiginosus var. micans
ASMO6,ASLEM5,ASLEM5,Astragalus lentiginosus var. mokiacensis
ASLEN,,ASLEN,Astragalus lentiginosus var. nigricalycis
ASLEO,,ASLEO,Astragalus lentiginosus var. oropedii
ASLEP,,ASLEP,Astragalus lentiginosus var. palans
ASLEP3,,ASLEP3,Astragalus lentiginosus var. piscinensis
ASLEC,ASLEP2,ASLEP2,Astragalus lentiginosus var. platyphyllidius
ASLEP5,ASLEP4,ASLEP4,Astragalus lentiginosus var. pohilii
ASLEP5,,ASLEP5,Astragalus lentiginosus var. pohlii
ASLES,,ASLES,Astragalus lentiginosus var. salinus
ASLES2,,ASLES2,Astragalus lentiginosus var. scorpionis
ASLES3,,ASLES3,Astragalus lentiginosus var. semotus
ASLES4,,ASLES4,Astragalus lentiginosus var. sesquimetralis
ASLES5,,ASLES5,Astragalus lentiginosus var. sierrae
ASLES6,,ASLES6,Astragalus lentiginosus var. stramineus
ASLES2,ASLET2,ASLET2,Astragalus lentiginosus var. toiyabensis
ASLES2,ASLET3,ASLET3,Astragalus lentiginosus var. tremuletorum
ASLET4,,ASLET4,Astragalus lentiginosus var. trumbullensis
ASLEP,ASLEU,ASLEU,Astragalus lentiginosus var. ursinus
ASLEV,,ASLEV,Astragalus lentiginosus var. variabilis
ASLEV2,,ASLEV2,Astragalus lentiginosus var. vitreus
ASLED,ASLEW2,ASLEW2,Astragalus lentiginosus var. wahweapensis
ASLEW,,ASLEW,Astragalus lentiginosus var. wilsonii
ASLEY,,ASLEY,Astragalus lentiginosus var. yuccanus
ASLE9,,ASLE9,Astragalus leptaleus
ASLE10,,ASLE10,Astragalus leptocarpus
ASLE11,,ASLE11,Astragalus leucolobus
ASPUT,ASLEC5,ASLEC5,Astragalus leucolobus ssp. consectus
ASTRL,ASLE16,ASLE16,Astragalus leucopsis
ASLI3,,ASLI3,Astragalus limnocharis
ASLIL2,,ASLIL2,Astragalus limnocharis var. limnocharis
ASLIM,,ASLIM,Astragalus limnocharis var. montii
ASLIM,ASLIT,ASLIT,Astragalus limnocharis var. tabulaeus
ASLI4,,ASLI4,Astragalus lindheimeri
ASAU4,ASLI7,ASLI7,Astragalus linearis
ASLI5,,ASLI5,Astragalus linifolius
ASLO2,,ASLO2,Astragalus loanus
ASLO3,,ASLO3,Astragalus lonchocarpus
ASHA3,ASLOH,ASLOH,Astragalus lonchocarpus var. hamiltonii
ASCEF,ASLO11,ASLO11,Astragalus longifolius
ASLO4,,ASLO4,Astragalus lotiflorus
ASLO4,ASLON,ASLON,Astragalus lotiflorus var. nebraskensis
ASLO4,ASLOR,ASLOR,Astragalus lotiflorus var. reverchonii
ASLU7,ASLU6,ASLU6,Astragalus luristanicus
ASLU7,,ASLU7,Astragalus lurorum
ASLU2,,ASLU2,Astragalus lutosus
