"taxon","auth","gbif","usda"
"Lyngbya ochracea","Thur.","Lyngbya ochracea",
"Lyngbya penicillata","Kutz.","Lyngbya penicillata",
"Lyngbya punctalis","Hassall ex Gomont, 1892","Lyngbya punctalis",
"Lyngbya purpurea","(Hooker & Harvey) Gomont","Lyngbya purpurea",
"Lyngbya putealis","Mont.","Lyngbya putealis",
"Lyngbya rivularianum","Gomont","Lyngbya rivularianum",
"Lyngbya semiplena","J.Agardh ex Gomont","Lyngbya semiplena",
"Lyngbya polychroa","(Meneghini) Rabenhorst, 1847","Lyngbya sordida",
"Lyngbya sordida","Gomont ex Gomont","Lyngbya sordida",
"Lyngbya sp.","sp000169095","Lyngbya sp.",
"Lyngbya spirulinoides","Gomont ex Gomont","Lyngbya spirulinoides",
"Lyngbya taylori","Drouet & Strickland","Lyngbya taylori",
"Oscillatoria acuminata","Gomont","Oscillatoria acuminata",
"Oscillatoria anguina","Bory ex Gomont","Oscillatoria anguina",
"Oscillatoria annae","Goor","Oscillatoria annae",
"Oscillatoria bonnemaisonii","(P.Crouan & H.Crouan) P.Crouan & H.Crouan","Oscillatoria bonnemaisonii",
"Oscillatoria boryana","Gomont","Oscillatoria boryana",
"Oscillatoria chalybea var. insularis","Gardner","Oscillatoria chalybea var. insularis",
"Oscillatoria chlorina","Kuetzing","Oscillatoria chlorina",
"Oscillatoria corralinae","Gomont","Oscillatoria corralinae",
"Oscillatoria cortiana","Menegh.","Oscillatoria cortiana",
"Oscillatoria curviceps","C.Agardh ex Gomont","Oscillatoria curviceps",
"Oscillatoria earlei","Gardner","Oscillatoria earlei",
"Oscillatoria erythraea","","Oscillatoria erythraea",
"Oscillatoria foreaui","Frémy","Oscillatoria foreaui",
"Oscillatoria grunowiana","","Oscillatoria grunowiana",
"Oscillatoria kawwanurae","Negoro","Oscillatoria kawwanurae",
"Oscillatoria limosa","C.Agardh ex Gomont","Oscillatoria limosa",
"Phormidium limosum","(Dillwyn) P.C.Silva","Oscillatoria limosa",
"Oscillatoria ludoviciana","Flint & Prescott","Oscillatoria ludoviciana",
"Oscillatoria luteola","Drouet, 1937","Oscillatoria luteola",
"Oscillatoria major","Vaucher ex Forti","Oscillatoria major",
"Oscillatoria margaritifera","Kütz. ex Gomont","Oscillatoria margaritifera",
"Oscillatoria nigra","Vaucher","Oscillatoria nigra",
"Oscillatoria obscura","Bruhl & Biswas","Oscillatoria obscura",
"Oscillatoria okeni","Agardh","Oscillatoria okeni",
"Oscillatoria ornata","Kuetzing","Oscillatoria ornata",
"Oscillatoria princeps","Vaucher ex Gomont","Oscillatoria princeps",
"Oscillatoria proboscidea","Gomont","Oscillatoria proboscidea",
"Oscillatoria rubescens","DC.","Oscillatoria rubescens",
"Oscillatoria rupicola","(Hansg.) Hansg. ex Forti","Oscillatoria rupicola",
"Oscillatoria salinarum","","Oscillatoria salinarum",
"Oscillatoria sancta","Kütz. ex Gomont","Oscillatoria sancta",
"Oscillatoria sancta f. caldariorum","Elenkin, 1949","Oscillatoria sancta f. caldariorum",
"Oscillatoria sancta var. caldariorum","Gomont, 1892","Oscillatoria sancta f. caldariorum",
"Oscillatoria simplicissima","Gomont","Oscillatoria simplicissima",
"Oscillatoria subbrevis","Schmidle","Oscillatoria subbrevis",
"Oscillatoria tenuis","C.Agardh ex Gomont","Oscillatoria tenuis",
"Oscillatoria tenuis var. natans","Gomot","Oscillatoria tenuis",
"Oscillatoria willei","Garner","Oscillatoria willei",
"Lyngbya aerugineo-caerulea","Gomont","Phormidium aerugineocaeruleum",
"Phormidium aerugineocaeruleum","(Gomont) Anagn. & Komárek","Phormidium aerugineocaeruleum",
"Lyngbya allorgei","Frémy","Phormidium allorgei",
"Phormidium allorgei","(Frémy) Anagn.","Phormidium allorgei",
"Phormidium ambiguum","Gomont","Phormidium ambiguum",
"Oscillatoria articulata","Gardner","Phormidium articulatum",
"Phormidium articulatum","(Gardner) Anagn. & Komárek","Phormidium articulatum",
"Phormidium autumale","(C.Agardh) Gomont","Phormidium autumale",
"Oscillatoria brevis","Kütz.","Phormidium breve",
"Oscillatoria brevis var. neapolitana","Gomont, 1892","Phormidium breve",
"Phormidium breve","(Kützing ex Gomont) Anagn. & Komárek","Phormidium breve",
"Oscillatoria chalybea","Mert.","Phormidium chalybeum",
"Phormidium chalybeum","(Mertens ex Gomont) Anagn. & Komárek","Phormidium chalybeum",
"Phormidium chlorinum","(Kütz. ex Gomont) Umezaki & Watanabe, 1994","Phormidium chlorinum",
"Phormidium corallinae","(Gomont) Anagn. & Komárek","Phormidium corallinae",
"Phormidium corium","Gomont ex Gomont","Phormidium corium",
"Phormidium crouanii","Gomont","Phormidium crouanii",
"Lyngbya diguetii","Gomont","Phormidium diguetii",
"Phormidium diguetii","(Gomont) Anagn. & Komárek","Phormidium diguetii",
"Phormidium favosum","Gomont ex Gomont","Phormidium favosum",
"Leibleinia gracilis","(Gomont) Anagn. & Komárek","Phormidium gracile",
"Phormidium gracile","(Gomont) Anagn.","Phormidium gracile",
"Oscillatoria granulata","Gardner","Phormidium granulatum",
"Phormidium granulatum","(N.L.Gardner) Anagn.","Phormidium granulatum",
"Phormidium hamelii","(Frémy) Anagn.","Phormidium hamelii",
"Phormidium holdenii","(Forti) Anagn.","Phormidium holdenii",
"Phormidium incrustatum","Gomont ex Gomont","Phormidium incrustatum",
"Phormidium insigne","(Skuja) Anagn.","Phormidium insigne",
"Phormidium interruptum","Kützing","Phormidium interruptum",
"Phormidium inundatum","Kütz. ex Gomont","Phormidium inundatum",
"Oscillatoria irrigua","Kütz. ex Gomont","Phormidium irriguum",
"Phormidium irriguum","(Kütz. ex Gomont) Anagn. & Komárek","Phormidium irriguum",
"Phormidium johanninum","(Kützing) Hansgirg ex Hansgirg, 1892","Phormidium johanninum",
"Phormidium kuetzingianum","(Kirchn. ex Gomont) Anagn. & Komárek","Phormidium kuetzingianum",
"Phormidium laysanense","Lemmermann, 1905","Phormidium laysanense",
"Phormidium lucidum","C.Agardh ex Gomont","Phormidium lucidum",
"Phormidium luridum","(Kütz.) Gomont","Phormidium luridum",
"Oscillatoria minnesotensis","Tilden","Phormidium minnesotense",
"Phormidium minnesotense","(Tilden) Drouet","Phormidium minnesotense",
"Phormidium molle","Gomont","Phormidium molle",
"Phormidium monile","Setchell & N.L.Gardner, 1930","Phormidium monile",
"Oscillatoria nigro-viridis","Thwaites","Phormidium nigroviride",
"Oscillatoria nigroviridis","Thwaites ex Gomont","Phormidium nigroviride",
"Phormidium nigroviride","(Thwaites ex Gomont) Anagn. & Komárek","Phormidium nigroviride",
"Phormidium nigrum","(Vaucher ex Gomont) Anagn. & Komárek","Phormidium nigrum",
"Phormidium orientale","G.S.West","Phormidium orientale",
"Phormidium ornatum","(Kütz. ex Gomont) Anagn. & Komárek","Phormidium ornatum",
"Phormidium pachydermaticum","Frémy","Phormidium pachydermaticum",
"Phormidium papyraceum","Gomont ex Gomont","Phormidium papyraceum",
"Phormidium penicillatum","Gomont","Phormidium penicillatum",
"Phormidium puteale","(Mont. ex Gomont) Anagn. & Komárek","Phormidium puteale",
"Oscillatoria retzii","C.Agardh","Phormidium retzii",
"Phormidium retzii","Kütz. ex Gomont","Phormidium retzii",
"Phormidium subfuscum","Kütz. ex Gomont","Phormidium subfuscum",
"Oscillatoria submembranacea","Ardissone & Strafforello ex Gomont, 1892","Phormidium submembranaceum",
"Phormidium submembranaceum","Gomont","Phormidium submembranaceum",
"Phormidium terebriforme","(C.Agardh ex Gomont) Anagn. & Komárek","Phormidium terebriforme",
"Oscillatoria tenuis ssp. tergestina","(Kuetzing) Rabenhorst","Phormidium tergestinum",
"Oscillatoria tenuis var. tergestina","Gomont","Phormidium tergestinum",
"Phormidium tergestinum","(Rabenh. ex Gomont) Anagn. & Komárek","Phormidium tergestinum",
"Phormidium tinctorium","Kütz. ex Gomont","Phormidium tinctorium",
"Oscillatoria tortuosa","Garner","Phormidium tortuosum",
"Phormidium tortuosum","(Gardner) Anagnostidis & Komárek, 1988","Phormidium tortuosum",
"Phormidium uncinatum","Gomont ex Gomont","Phormidium uncinatum",
"Lyngbya versicolor","Gomont","Phormidium versicolor",
"Phormidium versicolor","Wartmann","Phormidium versicolor",
"Porphyrosiphon versicolor","(Gomont) Anagn. & Komárek","Phormidium versicolor",
"Phormidium weissi","","Phormidium weissi",
"Phormidium willei","(N.L.Gardner) Anagn. & Komárek","Phormidium willei",
"Plectonema gracillimum","(Zopf) Hansg.","Plectonema gracillimum",
"Plectonema mirabile","Thuret ex Gomont, 1892","Plectonema mirabile",
"Plectonema tomasinianum","Bornet ex Gomont","Plectonema tomasinianum",
"Plectonema wollei","Farlow, 1877","Plectonema wollei",
"Arthrospira gomontiana","Setchell, 1895","Arthrospira gomontiana",
"Arthrospira jenneri","Stizenb. ex Gomont","Arthrospira jenneri",
"Arthrospira maxima","Setchell & N.L.Gardner, 1917","Arthrospira maxima",
"Arthrospira neapolitana","","Arthrospira neapolitana",
"Arthrospira platensis","Gomont","Arthrospira platensis",
"Hydrocoleum cantharidosmus","","Hydrocoleum cantharidosmus",
"Blennothrix heterotricha","(Gomont ex Gomont) Anagn. & Komárek","Hydrocoleum heterotrichum",
"Hydrocoleum heterotrichum","Kütz.","Hydrocoleum heterotrichum",
"Hydrocoleum holdeni","","Hydrocoleum holdeni",
"Hydrocoleum homoeotrichum","Kütz. ex Gomont","Hydrocoleum homoeotrichum",
"Oscillatoria agardhii","Gomont","Planktothrix agardhii",
"Planktothrix agardhii","(Gomont) Anagn. & Komárek","Planktothrix agardhii",
"Planktothrix isothrix","(Skuja) Komárek & Komárk.-Legn.","Planktothrix isothrix",
"Planktothrix mougeotii","(Bory ex Gomont) Anagn. & Komárek","Planktothrix isothrix",
"Planktothrix planctonica","(Elenkin) Anagn. & Komárek","Planktothrix planctonica",
"Oscillatoria prolifica","Gomont","Planktothrix prolifica",
"Planktothrix prolifica","(Gomont) Anagn. & Komárek","Planktothrix prolifica",
"Planktothrix rubescens","(DC. ex Gomont) Anagn. & Komárek","Planktothrix rubescens",
"Planktothrix serta","","Planktothrix serta",
"Porphyrosiphon fuscus","Gomont ex Frémy, 1927","Porphyrosiphon fuscus",
"Porphyrosiphon miniatus","(Hauck) Drouet","Porphyrosiphon miniatus",
"Porphyrosiphon notarisii","Kütz. ex Gomont","Porphyrosiphon notarisii",
"Porphyrosiphon splendidus","","Porphyrosiphon splendidus",
"Plectonema battersii","Gomont","Pseudophormidium battersii",
"Pseudophormidium battersii","(Gomont) Anagn.","Pseudophormidium battersii",
"Pseudophormidium tenue","(Thur. ex Gomont) Anagn. & Komárek","Pseudophormidium tenue",
"Trichodesmium erythraeum","Ehrenb. ex Gomont","Trichodesmium erythraeum",
"Trichodesmium hildebrandtii","(Gomont) J.De Toni","Trichodesmium hildebrandtii",
"Trichodesmium lacustre","Kleb.","Trichodesmium lacustre",
"Skujaella thiebautii","(Gomont ex Gomont) J.de Toni, 1939","Trichodesmium thiebautii",
"Trichodesmium thiebautii","Gomont ex Gomont","Trichodesmium thiebautii",
"Geitlerinema splendidum","(Grev. ex Gomont) Anagn.","Geitlerinema splendidum",
"Heteroleibleinia epiphytica","Komárek, 2001","Heteroleibleinia epiphytica",
"Heteroleibleinia gardneri","(Geitler) Anagnostidis & Komárek, 1988","Heteroleibleinia gardneri",
"Heteroleibleinia infixa","(Frémy) Anagn. & Komárek","Heteroleibleinia infixa",
"Lyngbya infixa","Frémy","Heteroleibleinia infixa",
"Heteroleibleinia kuetzingii","(Schmidle) Compère","Heteroleibleinia kuetzingii",
"Heteroleibleinia rigidula","(Kütz. ex Hansg.) L.Hoffm.","Heteroleibleinia rigidula",
"Jaaginema geminatum","(Schwabe ex Gomont) Anagn. & Komárek","Jaaginema geminatum",
"Jaaginema neglectum","(Lemmerm.) Anagn. & Komárek","Jaaginema neglectum",
"Pseudanabaena frigida","(Fritsch) Anagn.","Pseudanabaena frigida",
"Phormidium mucicola","Naumann & Hub.-Pest.","Pseudanabaena mucicola",
"Pseudanabaena mucicola","(Naumann & Hub.-Pest.) Schwabe","Pseudanabaena mucicola",
"Schizothrix aikenensis","(Wolle) Philson","Schizothrix aikenensis",
"Schizothrix coriacea","Gomont","Schizothrix coriacea",
"Schizothrix cresswellii","(Harv.) Gomont","Schizothrix cresswellii",
"Schizothrix fasciculata","Gomont ex Gomont","Schizothrix fasciculata",
"Schizothrix fuscescens","Kütz. ex Gomont","Schizothrix fuscescens",
"Schizothrix giuseppei","Drouet, 1942","Schizothrix giuseppei",
"Schizothrix lacustris var. caespitosa","Gomont, 1892","Schizothrix lacustris var. caespitosa",
"Schizothrix lardacea","Gomont","Schizothrix lardacea",
"Schizothrix lateritia","Gomont","Schizothrix lateritia",
"Schizothrix longiarticulata","N.L.Gardner, 1927","Schizothrix longiarticulata",
"Schizothrix muelleri","Nägeli","Schizothrix muelleri",
"Schizothrix rivularis","(Wolle) Drouet","Schizothrix rivularis",
"Schizothrix rubella","Gomont","Schizothrix rubella",
"Schizothrix telephroides","(Mont.) Gomont","Schizothrix telephroides",
"Schizothrix thelephoroides","Gomont","Schizothrix thelephoroides",
"Spirulina meneghiniana","Zanardini ex Gomont","Spirulina meneghiniana",
"Spirulina subsalsa ssp. oceanica","","Spirulina subsalsa ssp. oceanica",
"Spirulina tenerrima","Kütz. ex Gomont","Spirulina tenerrima",
"Leptolyngbya cebennensis","(Gomont) Umezaki & Watanabe","Leptolyngbya cebennensis",
"Phormidium cebennensis","Gomont","Leptolyngbya cebennensis",
"Leptolyngbya distincta","(Nordstedt) Anagnostidis & Komarek","Leptolyngbya distincta",
"Leptolyngbya ectocarpi","(Gomont) Anagn. & Komárek","Leptolyngbya ectocarpi",
"Leptolyngbya foveolara","(Gomont) Anagn. & Komárek","Leptolyngbya foveolara",
"Leptolyngbya fragilis","(Gomont) Anagn. & Komárek","Leptolyngbya fragilis",
"Phormidium fragile","Gomont","Leptolyngbya fragilis",
"Leptolyngbya lagerheimii","(Gomont ex Gomont) Anagn. & Komárek","Leptolyngbya lagerheimii",
"Lyngbya lagerheimii","Gomont ex Gomont","Leptolyngbya lagerheimii",
"Leptolyngbya laminosua","(Gomont) Anagnostidis & Komárek, 1988","Leptolyngbya laminosua",
"Phormidium laminosum","Gomont","Leptolyngbya laminosua",
"Leptolyngbya marina","(Gardner) Anagn.","Leptolyngbya marina",
"Leptolyngbya norvegica","(Gomont) Anagn. & Komárek","Leptolyngbya norvegica",
"Plectonema norvegicum","Gomont","Leptolyngbya norvegica",
"Leptolyngbya notata","(Schmidle) Anagn. & Komárek","Leptolyngbya notata",
"Leptolyngbya subuliformis","(Gomont) Anagn.","Leptolyngbya subuliformis",
"Oscillatoria subuliformis","(Kütz.) Gomont","Leptolyngbya subuliformis",
"Leptolyngbya tenuis","(Gomont) Anagn. & Komárek","Leptolyngbya tenuis",
"Phormidium tenue","Gomont","Leptolyngbya tenuis",
"Leptolyngbya terebrans","(Bornet & Flahault ex Gomont) Anagn. & Komárek","Leptolyngbya terebrans",
"Plectonema terebrans","Bornet & Flahault","Leptolyngbya terebrans",
"Planktolyngbya contorta","(Lemmerm.) Anagn. & Komárek","Planktolyngbya contorta",
"Lyngbya subtilis","Holden","Planktolyngbya limnetica",
"Planktolyngbya limnetica","(Lemmerm.) Komárk.-Legn. & Cronberg","Planktolyngbya limnetica",
"Amphithrix janthina","Bornet & Flahault","Tapinothrix janthina",
"Tapinothrix janthina","(Bornet & Flahault) Bohunická & J.R.Johans.","Tapinothrix janthina",
"Homoeothrix varians","Geitler","Tapinothrix varians",
"Tapinothrix varians","(Geitler) Bohunická & J.R.Johans.","Tapinothrix varians",
"Uronema confervicola","Lagerh.","Uronema confervicola",
"Uronema elongatum","Hodgetts","Uronema elongatum",
"Uronema trentonense","K.W.Lee, 1978","Uronema trentonense",
"Biatorella geophana","(Nyl.) Rehm","Steinia geophana",
"Steinia geophana","(Nyl.) Stein","Steinia geophana","Steinia geophana"
"Fissurina adscribens","(Nyl.) Z.F.Jia & Lücking","Fissurina adscribens",
"Fissurina albocinerea","(Vain.) Staiger","Fissurina albocinerea",
"Fissurina albolabiata","Seavey & J.Seavey","Fissurina albolabiata",
"Fissurina alligatorensis","Lendemer & R.C.Harris","Fissurina alligatorensis",
"Fissurina americana","Lendemer & R.C.Harris","Fissurina americana",
"Fissurina analphabetica","Common & Lücking","Fissurina analphabetica",
"Fissurina cingalina","(Nyl.) Staiger","Fissurina cingalina",
"Fissurina columbina","(Tuck.) Staiger","Fissurina columbina",
"Graphina columbina","(Tuck.) M.Wirth & Hale","Fissurina columbina","Graphina columbina"
"Phaeographina columbina","(Tuck.) Zahlbr.","Fissurina columbina","Graphina columbina"
"Fissurina comparimuralis","Staiger","Fissurina comparimuralis",
"Fissurina confusa","Common & Lücking","Fissurina confusa",
"Fissurina cypressi","(Müll.Arg.) Lendemer","Fissurina cypressi",
"Graphina cypressi","Müll.Arg.","Fissurina cypressi","Graphina cypressi"
"Fissurina dumastii","Fée","Fissurina dumastii",
"Graphis dumastii","(Fée) Spreng.","Fissurina dumastii",
"Fissurina dumastioides","(Fink) Staiger","Fissurina dumastioides",
"Fissurina glauca","Staiger","Fissurina glauca",
"Fissurina globulifica","(Nyl.) Staiger","Fissurina globulifica",
"Fissurina humilis","(Vain.) Staiger","Fissurina humilis",
"Fissurina ilicicola","Lendemer & R.C.Harris","Fissurina ilicicola",
"Fissurina illiterata","(R.C.Harris) Lendemer","Fissurina illiterata",
"Fissurina incisura","Seavey & J.Seavey","Fissurina incisura",
"Fissurina incrustans","Fée, 1823","Fissurina incrustans",
"Fissurina insidiosa","C.Knight & Mitt.","Fissurina insidiosa",
"Graphis beaumontii","Tuck.","Fissurina insidiosa","Graphis insidiosa"
"Graphis insidiosa","(C.Knight & Mitt.) C.Knight & Mitt.","Fissurina insidiosa","Graphis insidiosa"
"Fissurina inspersa","Common & Lücking","Fissurina inspersa",
"Fissurina mexicana","(Zahlbr.) Lücking & Rivas Plata","Fissurina mexicana",
"Graphina mexicana","(Zahlbr.) V.Wirth & Hale","Fissurina mexicana",
"Fissurina pseudostromatica","Lücking & Rivas Plata","Fissurina pseudostromatica",
"Fissurina radiata","Mont.","Fissurina radiata",
"Graphis radiata","(Mont.) Nyl., 1863","Fissurina radiata",
"Fissurina rufula","(Mont.) Staiger","Fissurina rufula",
"Graphis rufula","Mont.","Fissurina rufula","Graphis rufula"
"Fissurina scolecitis","(Tuck.) Lendemer","Fissurina scolecitis",
"Graphina scolecitis","(Tuck.) Fink","Fissurina scolecitis",
"Fissurina stromatoides","(H.Magn.) Luch & Lücking","Fissurina stromatoides",
"Fissurina subcomparimuralis","Common & Lücking","Fissurina subcomparimuralis",
"Fissurina subcontexta","(Nyl.) Nyl.","Fissurina subcontexta",
"Fissurina subnitidula","(Nyl.) Staiger","Fissurina subnitidula",
"Graphis subnitidula","Nyl.","Fissurina subnitidula","Graphis subnitidula"
"Fissurina tachygrapha","(Nyl.) Staiger","Fissurina tachygrapha",
"Graphis tachygrapha","Nyl.","Fissurina tachygrapha",
"Fissurina triticea","(Nyl.) Staiger","Fissurina triticea",
"Graphis triticea","Nyl.","Fissurina triticea",
"Fissurina tuckermaniana","Common & Lücking","Fissurina tuckermaniana",
"Fissurina varieseptata","Common & Lücking","Fissurina varieseptata",
"Boldia erythrosiphon","Herndon","Boldia erythrosiphon",
"Asterocladon rhodochortonoides","(Børgesen) Uwai, Nagasato, Motomura & Kogame","Asterocladon rhodochortonoides",
"Chorda filum","(L.) Stackh.","Chorda filum",
"Arthrocladia villosa","(Huds.) Duby","Arthrocladia villosa",
"Desmarestia aculeata","(L.) J.V.Lamour.","Desmarestia aculeata",
"Desmarestia confervoides","(Bory) M.E.Ramírez & A.F.Peters","Desmarestia confervoides",
"Desmarestia dudresnayi","J.V.Lamouroux ex Léman, 1819","Desmarestia dudresnayi",
"Desmarestia intermedia","","Desmarestia intermedia",
"Desmarestia kurilensis","Yamada","Desmarestia kurilensis",
"Desmarestia latifrons","Kütz.","Desmarestia latifrons",
"Desmarestia herbacea","","Desmarestia ligulata",
"Desmarestia ligulata","(Stackh.) J.V.Lamour.","Desmarestia ligulata",
"Desmarestia linearis","N.L.Gardner, 1944","Desmarestia ligulata",
"Desmarestia munda","","Desmarestia ligulata",
"Desmarestia ligulata var. firma","C.Ag.","Desmarestia ligulata var. firma",
