"family","genus","ac"
"Annonaceae","Anomianthus",TRUE
"Annonaceae","Anonidium",TRUE
"Annonaceae","Artabotrys",TRUE
"Annonaceae","Asimina",TRUE
"Annonaceae","Asteranthe",TRUE
"Annonaceae","Balonga",TRUE
"Annonaceae","Bocagea",TRUE
"Annonaceae","Bocageopsis",TRUE
"Annonaceae","Boutiquea",TRUE
"Annonaceae","Cananga",TRUE
"Annonaceae","Cardiopetalum",TRUE
"Annonaceae","Cleistochlamys",TRUE
"Annonaceae","Cleistopetalum",TRUE
"Annonaceae","Cleistopholis",TRUE
"Annonaceae","Craibella",TRUE
"Annonaceae","Cremastosperma",TRUE
"Annonaceae","Cyathocalyx",TRUE
"Annonaceae","Cyathostemma",TRUE
"Annonaceae","Cymbopetalum",TRUE
"Annonaceae","Dasoclema",TRUE
"Annonaceae","Dasymaschalon",TRUE
"Annonaceae","Deeringothamnus",TRUE
"Annonaceae","Dendrokingstonia",TRUE
"Annonaceae","Desmopsis",TRUE
"Annonaceae","Desmos",TRUE
"Annonaceae","Diclinanona",TRUE
"Annonaceae","Dielsiothamnus",TRUE
"Annonaceae","Disepalum",TRUE
"Annonaceae","Duckeanthus",TRUE
"Annonaceae","Duguetia",TRUE
"Annonaceae","Ellipeia",TRUE
"Annonaceae","Ellipeiopsis",TRUE
"Annonaceae","Enicosanthum",TRUE
"Annonaceae","Ephedranthus",TRUE
"Annonaceae","Exellia",TRUE
"Annonaceae","Fissistigma",TRUE
"Annonaceae","Friesodielsia",TRUE
"Annonaceae","Froesiodendron",TRUE
"Annonaceae","Fusaea",TRUE
"Annonaceae","Gilbertiella",TRUE
"Annonaceae","Goniothalamus",TRUE
"Annonaceae","Greenwayodendron",TRUE
"Annonaceae","Guatteria",TRUE
"Annonaceae","Haplostichanthus",TRUE
"Annonaceae","Hexalobus",TRUE
"Annonaceae","Hornschuchia",TRUE
"Annonaceae","Hubera",TRUE
"Annonaceae","Isolona",TRUE
"Annonaceae","Klarobelia",TRUE
"Annonaceae","Letestudoxa",TRUE
"Annonaceae","Lettowianthus",TRUE
"Annonaceae","Maasia",TRUE
"Annonaceae","Malmea",TRUE
"Annonaceae","Marsypopetalum",TRUE
"Annonaceae","Meiocarpidium",TRUE
"Annonaceae","Meiogyne",TRUE
"Annonaceae","Melodorum",TRUE
"Annonaceae","Mezzettia",TRUE
"Annonaceae","Miliusa",TRUE
"Annonaceae","Mischogyne",TRUE
"Annonaceae","Mitrella",TRUE
"Annonaceae","Mitrephora",TRUE
"Annonaceae","Mkilua",TRUE
"Annonaceae","Monanthotaxis",TRUE
"Annonaceae","Monocarpia",TRUE
"Annonaceae","Monocyclanthus",TRUE
"Annonaceae","Monodora",TRUE
"Annonaceae","Mosannona",TRUE
"Annonaceae","Mwasumbia",TRUE
"Annonaceae","Neo-uvaria",TRUE
"Annonaceae","Neostenanthera",TRUE
"Annonaceae","Onychopetalum",TRUE
"Annonaceae","Ophrypetalum",TRUE
"Annonaceae","Oreomitra",TRUE
"Annonaceae","Orophea",TRUE
"Annonaceae","Oxandra",TRUE
"Annonaceae","Papualthia",TRUE
"Annonaceae","Phaeanthus",TRUE
"Annonaceae","Phoenicanthus",TRUE
"Annonaceae","Piptostigma",TRUE
"Annonaceae","Platymitra",TRUE
"Annonaceae","Polyalthia",TRUE
"Annonaceae","Polyceratocarpus",TRUE
"Annonaceae","Popowia",TRUE
"Annonaceae","Porcelia",TRUE
"Annonaceae","Pseudartabotrys",TRUE
"Annonaceae","Pseudephedranthus",TRUE
"Annonaceae","Pseudomalmea",TRUE
"Annonaceae","Pseudoxandra",TRUE
"Annonaceae","Pseuduvaria",TRUE
"Annonaceae","Pyramidanthe",TRUE
"Annonaceae","Rollinia",TRUE
"Annonaceae","Ruizodendron",TRUE
"Annonaceae","Sageraea",TRUE
"Annonaceae","Sanrafaelia",TRUE
"Annonaceae","Sapranthus",TRUE
"Annonaceae","Schefferomitra",TRUE
"Annonaceae","Sirdavidia",TRUE
"Annonaceae","Sphaerocoryne",TRUE
"Annonaceae","Stelechocarpus",TRUE
"Annonaceae","Stenanona",TRUE
"Annonaceae","Tetrameranthus",TRUE
"Annonaceae","Toussaintia",TRUE
"Annonaceae","Tridimeris",TRUE
"Annonaceae","Trigynaea",TRUE
"Annonaceae","Trivalvaria",TRUE
"Annonaceae","Unonopsis",TRUE
"Annonaceae","Uvaria",TRUE
"Annonaceae","Uvariastrum",TRUE
"Annonaceae","Uvariodendron",TRUE
"Annonaceae","Uvariopsis",TRUE
"Annonaceae","Woodiellantha",TRUE
"Annonaceae","Xylopia",TRUE
"Calycanthaceae","Calycanthus",TRUE
"Calycanthaceae","Chimonanthus",TRUE
"Calycanthaceae","Idiospermum",TRUE
"Siparunaceae","Glossocalyx",TRUE
"Siparunaceae","Siparuna",TRUE
"Gomortegaceae","Gomortega",TRUE
"Atherospermataceae","Atherosperma",TRUE
"Atherospermataceae","Daphnandra",TRUE
"Atherospermataceae","Doryphora",TRUE
"Atherospermataceae","Dryadodaphne",TRUE
"Atherospermataceae","Laurelia",TRUE
"Atherospermataceae","Laureliopsis",TRUE
"Atherospermataceae","Nemuaron",TRUE
"Hernandiaceae","Gyrocarpus",TRUE
"Hernandiaceae","Hernandia",TRUE
"Hernandiaceae","Illigera",TRUE
"Hernandiaceae","Sparattanthelium",TRUE
"Monimiaceae","Austromatthaea",TRUE
"Monimiaceae","Decarydendron",TRUE
"Monimiaceae","Ephippiandra",TRUE
"Monimiaceae","Faika",TRUE
"Monimiaceae","Hedycarya",TRUE
"Monimiaceae","Hennecartia",TRUE
"Monimiaceae","Hortonia",TRUE
"Monimiaceae","Kairoa",TRUE
"Monimiaceae","Kibara",TRUE
"Monimiaceae","Kibaropsis",TRUE
"Monimiaceae","Lauterbachia",TRUE
"Monimiaceae","Levieria",TRUE
"Monimiaceae","Macropeplus",TRUE
"Monimiaceae","Macrotorus",TRUE
"Monimiaceae","Matthaea",TRUE
"Monimiaceae","Mollinedia",TRUE
"Monimiaceae","Monimia",TRUE
"Monimiaceae","Palmeria",TRUE
"Monimiaceae","Parakibara",TRUE
"Monimiaceae","Peumus",TRUE
"Monimiaceae","Steganthera",TRUE
"Monimiaceae","Tambourissa",TRUE
"Monimiaceae","Tetrasynandra",TRUE
"Monimiaceae","Wilkiea",TRUE
"Monimiaceae","Xymalos",TRUE
"Lauraceae","Actinodaphne",TRUE
