"family","genus","type"
"Physciaceae","Rinodina","lichen"
"Physciaceae","Tornabea","lichen"
"Gyalectaceae","Belonia","lichen"
"Gyalectaceae","Pachyphiale","lichen"
"Hymeneliaceae","Eiglera","lichen"
"Hymeneliaceae","Hymenelia","lichen"
"Hymeneliaceae","Ionaspis","lichen"
"Hymeneliaceae","Tremolecia","lichen"
"Biatorellaceae","Biatorella","lichen"
"Biatorellaceae","Piccolia","lichen"
"Byssolomataceae","Barubria","lichen"
"Byssolomataceae","Bryogomphus","lichen"
"Byssolomataceae","Ceratopycnidium","lichen"
"Byssolomataceae","Leimonis","lichen"
"Byssolomataceae","Logilvia","lichen"
"Byssolomataceae","Septotrapelia","lichen"
"Byssolomataceae","Szczawinskia","lichen"
"Byssolomataceae","Tapellariopsis","lichen"
"Carbonicolaceae","Carbonicola","lichen"
"Catillariaceae","Catillaria","lichen"
"Catillariaceae","Solenopsora","lichen"
"Catillariaceae","Xanthopsorella","lichen"
"Cladoniaceae","Cetradonia","lichen"
"Cladoniaceae","Cladia","lichen"
"Cladoniaceae","Cladonia","lichen"
"Cladoniaceae","Gymnoderma","lichen"
"Cladoniaceae","Pilophorus","lichen"
"Cladoniaceae","Pycnothelia","lichen"
"Cladoniaceae","Rexiella","lichen"
"Dactylosporaceae","Dactylospora","lichen"
"Gypsoplacaceae","Gypsoplaca","lichen"
"Haematommataceae","Haematomma","lichen"
"Lecanoraceae","Ameliella","lichen"
"Lecanoraceae","Bryodina","lichen"
"Lecanoraceae","Bryonora","lichen"
"Lecanoraceae","Carbonea","lichen"
"Lecanoraceae","Cladidium","lichen"
"Lecanoraceae","Claurouxia","lichen"
"Lecanoraceae","Clauzadeana","lichen"
"Lecanoraceae","Diomedella","lichen"
"Lecanoraceae","Edrudia","lichen"
"Lecanoraceae","Glaucomaria","lichen"
"Lecanoraceae","Japewiella","lichen"
"Lecanoraceae","Lecanora","lichen"
"Lecanoraceae","Lecanoropsis","lichen"
"Lecanoraceae","Lecidella","lichen"
"Lecanoraceae","Miriquidica","lichen"
"Lecanoraceae","Myriolecis","lichen"
"Lecanoraceae","Myrionora","lichen"
"Lecanoraceae","Omphalodina","lichen"
"Lecanoraceae","Palicella","lichen"
"Lecanoraceae","Polyozosia","lichen"
"Lecanoraceae","Protoparmeliopsis","lichen"
"Lecanoraceae","Psorinia","lichen"
"Lecanoraceae","Pulvinora","lichen"
"Lecanoraceae","Pyrrhospora","lichen"
"Lecanoraceae","Rhizoplaca","lichen"
"Lecanoraceae","Sedelnikovaea","lichen"
"Lecanoraceae","Straminella","lichen"
"Lecanoraceae","Traponora","lichen"
"Lecanoraceae","Tylothallia","lichen"
"Lecanoraceae","Vainionora","lichen"
"Malmideaceae","Cheiromycina","lichen"
